Date,ConstructionPriceIndex
01-Jan-00, 74.7 
01-Feb-00, 75.0 
01-Mar-00, 75.2 
01-Apr-00, 75.3 
01-May-00, 75.5 
01-Jun-00, 75.9 
01-Jul-00, 76.0 
01-Aug-00, 76.1 
01-Sep-00, 76.4 
01-Oct-00, 76.5 
01-Nov-00, 76.7 
01-Dec-00, 77.1 
01-Jan-01, 77.7 
01-Feb-01, 78.0 
01-Mar-01, 78.2 
01-Apr-01, 78.6 
01-May-01, 79.2 
01-Jun-01, 79.6 
01-Jul-01, 80.0 
01-Aug-01, 80.8 
01-Sep-01, 81.0 
01-Oct-01, 81.5 
01-Nov-01, 81.5 
01-Dec-01, 81.2 
01-Jan-02, 80.6 
01-Feb-02, 80.9 
01-Mar-02, 81.2 
01-Apr-02, 81.4 
01-May-02, 81.7 
01-Jun-02, 81.9 
01-Jul-02, 81.7 
01-Aug-02, 81.4 
01-Sep-02, 81.8 
01-Oct-02, 82.3 
01-Nov-02, 81.9 
01-Dec-02, 82.6 
01-Jan-03, 83.7 
01-Feb-03, 84.5 
01-Mar-03, 85.0 
01-Apr-03, 85.3 
01-May-03, 85.2 
01-Jun-03, 85.3 
01-Jul-03, 85.1 
01-Aug-03, 85.9 
01-Sep-03, 86.5 
01-Oct-03, 87.1 
01-Nov-03, 87.8 
01-Dec-03, 88.4 
01-Jan-04, 88.9 
01-Feb-04, 89.4 
01-Mar-04, 90.5 
01-Apr-04, 91.4 
01-May-04, 92.5 
01-Jun-04, 93.0 
01-Jul-04, 93.6 
01-Aug-04, 94.1 
01-Sep-04, 94.5 
01-Oct-04, 95.1 
01-Nov-04, 95.7 
01-Dec-04, 96.5 
01-Jan-05, 96.7 
01-Feb-05, 96.4 
01-Mar-05, 96.9 
01-Apr-05, 97.1 
01-May-05, 98.3 
01-Jun-05, 99.3 
01-Jul-05, 100.7 
01-Aug-05, 100.8 
01-Sep-05, 101.2 
01-Oct-05, 101.8 
01-Nov-05, 102.8 
01-Dec-05, 104.0 
01-Jan-06, 104.4 
01-Feb-06, 104.7 
01-Mar-06, 105.6 
01-Apr-06, 105.7 
01-May-06, 105.9 
01-Jun-06, 105.8 
01-Jul-06, 105.4 
01-Aug-06, 105.9 
01-Sep-06, 106.9 
01-Oct-06, 107.3 
01-Nov-06, 107.5 
01-Dec-06, 107.8 
01-Jan-07, 107.9 
01-Feb-07, 108.1 
01-Mar-07, 108.4 
01-Apr-07, 108.0 
01-May-07, 106.8 
01-Jun-07, 106.3 
01-Jul-07, 106.4 
01-Aug-07, 106.6 
01-Sep-07, 106.7 
01-Oct-07, 106.7 
01-Nov-07, 106.2 
01-Dec-07, 105.8 
01-Jan-08, 105.1 
01-Feb-08, 104.9 
01-Mar-08, 104.5 
01-Apr-08, 103.8 
01-May-08, 104.1 
01-Jun-08, 103.0 
01-Jul-08, 103.3 
01-Aug-08, 102.7 
01-Sep-08, 101.8 
01-Oct-08, 101.4 
01-Nov-08, 101.6 
01-Dec-08, 102.0 
01-Jan-09, 101.7 
01-Feb-09, 100.8 
01-Mar-09, 100.5 
01-Apr-09, 99.2 
01-May-09, 97.7 
01-Jun-09, 96.9 
01-Jul-09, 96.7 
01-Aug-09, 96.6 
01-Sep-09, 96.9 
01-Oct-09, 97.2 
01-Nov-09, 97.5 
01-Dec-09, 97.9 
01-Jan-10, 97.8 
01-Feb-10, 97.2 
01-Mar-10, 96.4 
01-Apr-10, 95.7 
01-May-10, 95.6 
01-Jun-10, 95.9 
01-Jul-10, 96.4 
01-Aug-10, 96.4 
01-Sep-10, 96.0 
01-Oct-10, 96.6 
01-Nov-10, 96.7 
01-Dec-10, 97.0 
01-Jan-11, 97.0 
01-Feb-11, 96.6 
01-Mar-11, 96.8 
01-Apr-11, 97.5 
01-May-11, 97.4 
01-Jun-11, 97.3 
01-Jul-11, 97.2 
01-Aug-11, 97.9 
01-Sep-11, 97.4 
01-Oct-11, 97.8 
01-Nov-11, 97.8 
01-Dec-11, 97.8 
01-Jan-12, 96.8 
01-Feb-12, 96.2 
01-Mar-12, 96.9 
01-Apr-12, 97.4 
01-May-12, 97.4 
01-Jun-12, 97.4 
01-Jul-12, 98.4 
01-Aug-12, 99.3 
01-Sep-12, 99.5 
01-Oct-12, 99.4 
01-Nov-12, 99.5 
01-Dec-12, 99.9 
01-Jan-13, 100.9 
01-Feb-13, 101.9 
01-Mar-13, 102.8 
01-Apr-13, 103.5 
01-May-13, 103.8 
01-Jun-13, 103.9 
01-Jul-13, 104.0 
01-Aug-13, 104.5 
01-Sep-13, 105.8 
01-Oct-13, 107.5 
01-Nov-13, 108.4 
01-Dec-13, 108.9 
01-Jan-14, 109.9 
01-Feb-14, 110.7 
01-Mar-14, 111.0 
01-Apr-14, 109.8 
01-May-14, 109.6 
01-Jun-14, 108.8 
01-Jul-14, 111.3 
01-Aug-14, 112.8 
01-Sep-14, 113.1 
01-Oct-14, 111.5 
01-Nov-14, 112.3 
01-Dec-14, 112.8 
01-Jan-15, 113.2 
01-Feb-15, 113.8 
01-Mar-15, 114.1 
01-Apr-15, 113.8 
01-May-15, 113.9 
01-Jun-15, 114.1 
01-Jul-15, 114.1 
01-Aug-15, 113.8 
01-Sep-15, 113.8 
01-Oct-15, 114.4 
01-Nov-15, 114.0 
01-Dec-15, 114.7 
01-Jan-16, 114.9 
01-Feb-16, 115.0 
01-Mar-16, 116.6 
01-Apr-16, 117.3 
01-May-16, 118.1 
01-Jun-16, 118.3 
01-Jul-16, 119.8 
01-Aug-16, 121.3 
01-Sep-16, 122.3 
01-Oct-16, 123.4 
01-Nov-16, 124.0 
01-Dec-16, 124.0 
01-Jan-17, 124.5 
01-Feb-17, 124.4 
01-Mar-17, 124.8 
01-Apr-17, 124.9 
01-May-17, 124.6 
01-Jun-17, 125.5 
01-Jul-17, 126.2 
01-Aug-17, 126.9 
01-Sep-17, 127.3 
01-Oct-17, 126.9 
01-Nov-17, 126.8 
01-Dec-17, 126.9 
01-Jan-18, 127.7 
01-Feb-18, 128.5 
01-Mar-18, 128.7 
01-Apr-18, 129.5 
01-May-18, 130.6 
01-Jun-18, 130.7 
01-Jul-18, 130.2 
01-Aug-18, 130.0 
01-Sep-18, 130.4 
01-Oct-18, 131.2 
